№,Шикізат шығыны,Шикізат тығыздығы,Температура сырья в реактор,Температура реактора,Давление в реакторе,Расход регенерированного катализатора,Стабильный Бензин
,x1,x2,x3,x4,x5,x6,y1
1,"241,8","0,899","206,3","517,8","2,26","1679,46","48,7"
2,"241,6","0,898","208,8","518,0","2,3","1692,4","48,6"
3,"242,5","0,898","209,1","517,6","2,3","1695,8","49,2"
4,"241,4","0,898","208,8","517,7","2,3","1684,0","49,1"
5,"240,9","0,901","210,4","517,8","2,2","1725,0","48,8"
6,"241,6","0,901","213,4","517,9","2,3","1763,0","48,7"
7,"241,9","0,899","212,4","517,9","2,3","1771,5","48,5"
8,"241,4","0,900","212,3","517,6","2,3","1752,8","48,8"
9,"240,2","0,900","214,3","518,3","2,2","1767,4","48,4"
10,"240,8","0,901","214,1","518,1","2,3","1780,7","47,9"
11,"155,6","0,901","196,6","515,4","2,2","1099,6","37,1"
12,"237,6","0,901","211,7","517,6","2,2","1745,1","47,3"
13,"239,2","0,900","213,0","518,1","2,2","1781,6","48,8"
14,"239,6","0,901","217,1","518,0","2,2","1766,9","48,4"
15,"239,6","0,901","216,5","518,3","2,2","1774,4","48,1"
16,"239,4","0,901","215,6","518,3","2,2","1754,3","47,9"
17,"239,8","0,902","213,8","518,5","2,2","1742,1","47,9"
18,"239,8","0,901","213,4","518,7","2,3","1748,7","48,0"
19,"239,8","0,901","214,5","519,0","2,2","1743,1","48,0"
20,"239,8","0,901","211,9","519,0","2,2","1743,0","47,5"
21,"239,1","0,901","212,9","519,1","2,3","1735,5","47,1"
22,"223,8","0,900","214,7","518,9","2,2","1762,5","46,3"
23,"216,4","0,901","209,5","519,5","2,2","1560,2","47,5"
24,"231,0","0,901","211,8","519,2","2,2","1689,0","50,5"
25,"238,0","0,900","214,9","519,0","2,2","1761,9","46,5"
26,"237,7","0,901","214,2","519,0","2,2","1773,7","46,7"
27,"237,6","0,901","214,4","518,9","2,3","1754,7","46,7"
28,"237,5","0,901","214,1","518,9","2,3","1766,6","46,9"
29,"237,8","0,901","213,1","518,9","2,2","1752,4","47,0"
30,"238,0","0,900","212,2","518,8","2,2","1739,9","47,2"
31,"237,7","0,900","212,9","519,0","2,2","1740,7","47,0"
32,"237,7","0,900","212,6","518,9","2,2","1765,0","47,1"
33,"237,6","0,899","212,2","519,0","2,3","1757,4","47,3"
34,"238,6","0,899","212,5","518,9","2,2","1744,3","47,2"
35,"240,2","0,898","212,1","518,9","2,3","1763,5","47,3"
36,"240,8","0,898","212,7","518,9","2,2","1775,6","48,2"
37,"241,4","0,899","212,9","518,9","2,2","1767,8","48,5"
38,"241,0","0,899","212,3","518,8","2,2","1793,4","49,0"
39,"240,2","0,898","210,4","519,1","2,3","1770,4","49,1"
40,"240,9","0,899","208,4","518,9","2,2","1789,6","49,0"
